ID,Accession,Target,TargetID,Experiment,Literature,Tissue
hsa-let-7b-5p,MIMAT0000063,CHD7,55636,CLASH,23622248,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,CHMP2A,27243,Proteomics//pSILAC,18668040,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,CHMP3,51652,Proteomics,18668040,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,CHPF2,54480,Proteomics//pSILAC,18668040,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,CHRAC1,54108,Proteomics,18668040,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,CHTOP,26097,HITS-CLIP,23313552,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,CIAO1,9391,Proteomics//pSILAC,18668040,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,CIZ1,25792,CLASH,23622248,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,CKAP2,26586,CLASH,23622248,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,CKB,1152,CLASH,23622248,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,CKS2,1164,CLASH,23622248,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,CLCA2,9635,CLASH,23622248,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,CLDN12,9069,PAR-CLIP,24398324|23446348|20371350|27292025,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,CLINT1,9685,CLASH,23622248,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,CLPX,10845,Proteomics,18668040,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,CLUH,23277,CLASH//Proteomics,18668040|23622248,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,CMC1,152100,Proteomics,18668040,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,CNDP2,55748,Proteomics,18668040,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,CNNM3,26505,CLASH,23622248,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,CNOT1,23019,CLASH,23622248,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,CNOT2,4848,CLASH,23622248,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,COIL,8161,PAR-CLIP//Proteomics,18668040|23446348|21572407|20371350,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,COL3A1,1281,Luciferase reporter assay//Microarray//qRT-PCR,22995917,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,COL8A1,1295,PAR-CLIP,23592263,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,COLEC12,81035,PAR-CLIP,21572407,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,COMMD9,29099,Proteomics//pSILAC,18668040,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,COPG1,22820,Proteomics,18668040,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,COPS2,9318,Proteomics,18668040,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,COX1,4512,CLASH,23622248,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,COX2,4513,CLASH,23622248,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,COX3,4514,CLASH,23622248,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,COX6B1,1340,HITS-CLIP,23706177,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,COX7B,1349,Proteomics,18668040,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,CPA4,51200,HITS-CLIP,23706177,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,CPEB1,64506,Luciferase reporter assay//Microarray//qRT-PCR,22995917,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,CPEB3,22849,Luciferase reporter assay//Microarray//qRT-PCR,22995917,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,CPEB4,80315,Luciferase reporter assay//Microarray//qRT-PCR,22995917,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,CPED1,79974,Microarray,17699775,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,CPSF1,29894,Proteomics,18668040,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,CPSF3L,54973,Proteomics,18668040,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,CPTP,80772,CLASH,23622248,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,CRKL,1399,Proteomics,18668040,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,CRX,1406,PAR-CLIP,26701625,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,CRY2,1408,PAR-CLIP,23592263|26701625,Breast cancerous tissues
hsa-let-7b-5p,MIMAT0000063,CS,1431,Proteomics,18668040,Breast cancerous tissues
